Keyword,Volume,Topic,Pillar,Page,Page role,Page intent,Keyword intent,Intent source
easm,1000,Cybersecurity Services,EASM Cybersecurity Solutions,Top EASM Solutions Overview,Pillar page,Commercial,Commercial,text
spear phishing attack,1000,Threat Management,Spear Phishing Overview,Understanding Spear Phishing Attacks,Pillar page,Informational,Informational,text
application security tools,1000,Cybersecurity Practices,Application Security Solutions,Comprehensive Application Security Solutions,Supporting,Commercial,Commercial,text
managed edr,1000,Cybersecurity Services,EDR Security Solutions,Benefits of Managed EDR,Supporting,Commercial,Commercial,text
shift left security,1000,Cybersecurity Practices,Shift Left Security,Understanding Shift Left Security,Pillar page,Informational,Informational,text
azure security,1000,Cybersecurity Practices,Cloud Security Strategies,AWS vs Azure Cloud Security,Supporting,Informational,Commercial,text
critical security controls,1000,Compliance and Governance,Critical Security Controls,Overview of Critical Security Controls,Pillar page,Informational,Informational,text
cloud siem,1000,Cybersecurity Services,SIEM Overview,Cloud-Based SIEM Solutions,Supporting,Commercial,Commercial,text
cspm tools,1000,Cybersecurity Practices,Cloud Security Posture Management,CSPM Tools and Vendors Overview,Pillar page,Commercial,Commercial,text
what is advanced persistent threat,1000,Threat Management,Advanced Threat Protection,Understanding Advanced Persistent Threats,Supporting,Informational,Informational,text
what is red teaming,1000,Threat Management,Red Teaming Concepts,Introduction to Red Teaming,Pillar page,Informational,Informational,text
continuous threat exposure management,1000,Risk Management,Threat Exposure Management,Understanding Continuous Threat Exposure Management,Supporting,Informational,Commercial,text
mssp security,1000,Cybersecurity Services,MSSP Overview,Choosing a Managed Security Service Provider,Supporting,Commercial,Commercial,text
brute force attack definition,1000,Threat Management,Brute Force Attacks,Understanding Brute Force Attacks,Pillar page,Informational,Informational,text
brute force meaning,1000,Threat Management,Brute Force Attacks,Understanding Brute Force Attacks,Pillar page,Informational,Informational,text
mdr cybersecurity,1000,Cybersecurity Services,MDR Cybersecurity Solutions,MDR Security Services Overview,Supporting,Mixed,Commercial,text
intrusion prevention,1000,Cybersecurity Services,Intrusion Detection Systems,Intrusion Detection And Prevention Overview,Pillar page,Mixed,Commercial,text
what is an apt,1000,Threat Management,APT Threat Landscape,What Is An APT?,Supporting,Informational,Informational,text
cyber security risk management,1000,Risk Management,Cybersecurity Risk Management,Understanding Cyber Risk Management,Pillar page,Informational,Informational,text
what is iot security,1000,Cybersecurity Practices,IoT Security Solutions,Understanding IoT Security Basics,Pillar page,Informational,Informational,text
threat intelligence platforms,1000,Threat Management,Threat Intelligence Solutions,Top Threat Intelligence Platforms,Pillar page,Commercial,Commercial,text
file integrity monitoring,1000,Cybersecurity Practices,File Integrity Monitoring,Top File Integrity Monitoring Solutions,Pillar page,Commercial,Commercial,text
supply chain attacks,880,Threat Management,Supply Chain Attacks,Understanding Supply Chain Attacks,Pillar page,Informational,Informational,text
managed cyber security service,880,Cybersecurity Services,Managed Security Solutions,Comprehensive Cybersecurity Services,Supporting,Commercial,Commercial,text
internet of things security,880,Cybersecurity Practices,IoT Security Solutions,Understanding IoT Security Basics,Pillar page,Informational,Informational,text
soar vs siem,880,Cybersecurity Services,SOAR in Cybersecurity,SIEM vs SOAR Explained,Supporting,Informational,Informational,text
endpoint detection and response solutions,880,Cybersecurity Practices,Endpoint Detection Solutions,Effective Endpoint Detection Strategies,Pillar page,Commercial,Commercial,text
siems,880,Cybersecurity Services,SIEM Solutions,Top SIEM Solutions Overview,Pillar page,Commercial,Commercial,text
siem systems,880,Cybersecurity Services,SIEM Overview,Top SIEM Solutions Available,Supporting,Commercial,Commercial,text
threat intelligence services,880,Threat Management,Threat Intelligence Solutions,Top Threat Intelligence Platforms,Pillar page,Commercial,Commercial,text
what is container security,880,Cybersecurity Practices,Container Security Essentials,What Is Container Security?,Supporting,Informational,Informational,text
what is siem in cyber security,880,Cybersecurity Services,SIEM Overview,What Is SIEM Technology?,Supporting,Informational,Informational,text
api security tools,880,Cybersecurity Practices,API Security Solutions,Top API Security Tools,Supporting,Commercial,Commercial,text
what does siem stand for,880,Cybersecurity Services,SIEM Overview,What Is SIEM Technology?,Supporting,Informational,Informational,text
what is a brute force attack,880,Threat Management,Brute Force Attacks,Understanding Brute Force Attacks,Pillar page,Informational,Informational,text
network traffic monitor,720,Threat Management,Network Traffic Analysis,Top Network Traffic Monitors,Pillar page,Commercial,Commercial,text
iac tools,720,Cybersecurity Practices,Infrastructure as Code,Top IAC Tools Overview,Supporting,Commercial,Commercial,text
identity access management tools,720,Security Management,Identity Access Management,Comprehensive IAM Tools Guide,Supporting,Commercial,Commercial,text
types of ransomware,720,Threat Management,Ransomware Awareness,Common Types of Ransomware,Supporting,Informational,Informational,text
siem management,720,Cybersecurity Services,SIEM Overview,SIEM Management Services Explained,Supporting,Commercial,Commercial,text
web vulnerability scanner,720,Threat Management,Vulnerability Management,Vulnerability Scanning Tools Explained,Supporting,Commercial,Commercial,text
sql exploit,720,Threat Management,SQL Injection Overview,Overview of SQL Exploits,Supporting,Informational,Informational,text
cloud app security broker,720,Cybersecurity Practices,CASB Solutions,Understanding Cloud Access Security Brokers,Supporting,Commercial,Commercial,text
cloud security standards,720,Cybersecurity Practices,Cloud Security Solutions,Key Cloud Security Standards,Supporting,Informational,Informational,text
cybersecurity risk,720,Risk Management,Cybersecurity Risk Management,What Is Cyber Risk?,Supporting,Informational,Informational,text
data leakage protection,720,Cybersecurity Practices,Data Loss Prevention,Overview of Data Leakage Protection,Supporting,Commercial,Commercial,text
managed security service,720,Cybersecurity Services,Managed Security Solutions,Top Managed Security Services,Supporting,Commercial,Transactional,text
define siem,720,Cybersecurity Services,SIEM Overview,What Is SIEM Technology?,Supporting,Informational,Informational,text
managed endpoint security,720,Cybersecurity Services,Managed Detection and Response,Managed Endpoint Security Solutions,Supporting,Transactional,Transactional,text
xdr platform,720,Cybersecurity Services,XDR Cybersecurity Solutions,Understanding XDR Solutions,Pillar page,Commercial,Commercial,text
soar cybersecurity,590,Cybersecurity Services,SOAR in Cybersecurity,SOAR Security Tools Overview,Pillar page,Mixed,Commercial,text
it asset discovery,590,Risk Management,IT Asset Management,Top IT Asset Discovery Tools,Supporting,Commercial,Commercial,text
siem platforms,590,Cybersecurity Services,SIEM Overview,Top SIEM Solutions Available,Supporting,Commercial,Commercial,text
container scanning,590,Cybersecurity Practices,Container Security Essentials,Best Container Scanning Tools,Supporting,Commercial,Commercial,text
what is cyber threat intelligence,590,Threat Management,Threat Intelligence Solutions,Understanding Cyber Threat Intelligence,Supporting,Mixed,Informational,text
data leak protection,590,Cybersecurity Practices,Data Loss Prevention,Overview of Data Leakage Protection,Supporting,Commercial,Commercial,text
threat intelligence software,590,Threat Management,Threat Intelligence Solutions,Top Threat Intelligence Platforms,Pillar page,Commercial,Commercial,text
security managed services,590,Cybersecurity Services,Managed Security Solutions,Top Managed Security Services,Supporting,Commercial,Transactional,text
cyber threat intelligence tools,590,Threat Management,Threat Intelligence Solutions,Understanding Cyber Threat Intelligence,Supporting,Mixed,Commercial,text
security information and event management siem,590,Cybersecurity Services,SIEM Overview,Security Information Management Systems,Supporting,Commercial,Commercial,text
cybersecurity threat intelligence,590,Threat Management,Threat Intelligence Solutions,Understanding Cyber Threat Intelligence,Supporting,Mixed,Informational,text
aws security tools,590,Cybersecurity Practices,Cloud Security Strategies,Top AWS Security Services,Supporting,Commercial,Commercial,text
zero trust security architecture,590,Security Management,Zero Trust Security,Exploring Zero Trust Architecture,Pillar page,Informational,Informational,text
cyber security ai,590,Cybersecurity Practices,Cybersecurity Innovations,AI Applications in Cybersecurity,Pillar page,Mixed,Commercial,text
adversarial ai,590,Compliance and Governance,Adversarial AI,Understanding Adversarial AI,Pillar page,Informational,Informational,text
cyber security as a service,590,Cybersecurity Services,Managed Security Solutions,Affordable Security as a Service,Supporting,Transactional,Transactional,text
rce exploit,590,Threat Management,Remote Code Execution,Exploring RCE Exploits,Supporting,Informational,Informational,text
security siem tools,590,Cybersecurity Services,SIEM Overview,Security Information Management Systems,Supporting,Commercial,Commercial,text
xss attacks,590,Threat Management,XSS Vulnerabilities,Overview of XSS Attacks,Supporting,Informational,Informational,text
cyber security risk,590,Risk Management,Cybersecurity Risk Management,What Is Cyber Risk?,Supporting,Informational,Informational,text
managed endpoint detection and response,480,Cybersecurity Services,Managed Detection and Response,Managed Endpoint Security Solutions,Supporting,Transactional,Transactional,text
zero day attack meaning,480,Threat Management,Zero Day Attacks,Understanding Zero Day Attacks,Pillar page,Informational,Informational,text
secure access service edge sase,480,Cybersecurity Practices,Secure Access Service Edge,Understanding Secure Access Service Edge,Pillar page,Commercial,Commercial,text
